Player,Mat_t20,Inns_t20,NO_t20,HS_t20,Ave_t20,SR_t20,4s_t20,6s_t20,Team_t20,Runs_t20,100s_t20,50s_t20,0s_t20,Mat_odi,Inns_odi,NO_odi,HS_odi,Ave_odi,SR_odi,4s_odi,6s_odi,Team_odi,Runs_odi,100s_odi,50s_odi,0s_odi,Price,Score,Price_score
I Udana,6,4,2,19,12.5,166.66,3,1,,25,0,0,1,,,,,,,,,,,,,,0,170.66,1497.9450640231
A Dananjaya,6,3,1,11,11.5,135.29,3,0,MI,23,0,0,0,18,14,2,50,12.83,61.35,14,1,MI,154,0,1,0,50,138.29,50
PC de Silva,2,2,0,21,11,100,1,0,,22,0,0,0,,,,,,,,,,,,,,0,101,886.5138372573
KMDN Kulasekara,5,3,2,12,22,110,3,0,,22,0,0,0,3,3,2,5,8,100,1,0,,8,0,0,0,0,113,991.8422139612
JRMVB Sanjaya,8,5,2,6,6.66,111.11,3,0,,20,0,0,0,,,,,,,,,,,,,,0,114.11,1001.5850888063
SS Pathirana,3,3,0,14,6.33,111.76,2,0,,19,0,0,0,4,3,0,31,13.33,76.92,4,0,,40,0,0,0,0,113.76,998.5130111524
ML Udawatte,3,3,0,11,6.33,82.6,2,0,,19,0,0,1,,,,,,,,,,,,,,0,84.6,742.5650557621
LE Plunkett,4,4,1,18,6,128.57,2,0,,18,0,0,2,19,4,0,15,11,112.82,3,2,,44,0,0,0,0,130.57,1146.0605121851
TA Blundell,2,2,1,14,17,80.95,0,0,,17,0,0,0,,,,,,,,,,,,,,0,80.95,710.5276745147
LA Dawson,4,2,1,10,17,212.5,2,1,,17,0,0,0,,,,,,,,,,,,,,0,215.5,1891.5220983065
JP Faulkner,3,3,1,14,8.5,154.54,2,0,,17,0,0,0,2,2,1,32,44,104.76,1,1,,44,0,0,0,0,156.54,1374.0086741016
JE Root,1,1,0,17,17,89.47,2,0,,17,0,0,0,22,21,6,133,71.8,90.42,79,6,,1077,2,7,1,0,91.47,802.865551425
