Player,Runs_t20,HS_t20,Bat Av_t20,Wkts_t20,BBI_t20,Bowl Av_t20,Ct_t20,St_t20,Ave Diff_t20,Team_t20,Matches_t20,100s_t20,5s_t20,Runs_odi,HS_odi,Bat Av_odi,Wkts_odi,BBI_odi,Bowl Av_odi,Ct_odi,St_odi,Ave Diff_odi,Team_odi,Matches_odi,100s_odi,5s_odi,Price,Score,Price_score
DAJ Bracewell,0,0,0,2,Feb-18,5,0,0,-4.99,,3,0,0,5,5,0,4,Apr-55,18.5,1,0,0,,2,0,0,0,2,32.9091706889
PVD Chameera,15,12,7.5,3,22-Feb,35,1,0,-27.49,,3,0,0,54,19,13.5,5,02-Jun,65.8,2,0,-52.29,,11,0,0,0,22.5,370.2281702501
PJ Cummins,3,3,3,2,28-Jan,38.5,1,0,-35.49,,3,0,0,31,12,6.2,13,Apr-24,39.84,0,0,-33.64,,11,0,0,0,8,131.6366827556
CJ Dala,2,2,0,7,1-Mar,15.71,1,0,0,,3,0,0,,,,,,,,,,,,,,0,9,148.0912681
JP Faulkner,17,14,8.5,5,20-Mar,15.8,1,0,-7.29,,3,0,0,44,32,44,1,Jan-67,104,1,0,-59.99,,2,0,0,0,27.5,452.5010969724
N Pradeep,0,0,0,3,1-Feb,45,0,0,0,,3,0,0,6,5,2,15,Mar-28,35.46,4,0,-33.46,,12,0,0,0,3,49.3637560333
Imran Tahir,0,0,0,6,24-May,16.5,0,0,0,,3,0,1,11,8,2.75,18,Apr-27,35.61,4,0,-32.86,,16,0,0,0,6,98.7275120667
Imrul Kayes,52,36,17.33,0,0,0,2,0,0,,3,0,0,125,68,25,0,0,0,1,0,0,,5,0,0,0,53.33,877.5230364195
H Klaasen,92,69,30.66,0,0,0,4,0,0,,3,0,0,110,43,36.66,0,0,0,7,0,0,,4,0,0,0,99.66,1639.8639754278
M Klinger,143,62,47.66,0,0,0,2,0,0,,3,0,0,,,,,,,,,,,,,,0,109.66,1804.4098288723
AD Mathews,8,7,4,1,19-Jan,68,0,0,-63.99,,3,0,0,615,111,61.5,3,Feb-24,40.66,5,0,20.83,,16,1,0,0,12,197.4550241334
Mehidy Hasan Miraz,27,14,9,2,1-Feb,46,2,0,-36.99,,3,0,0,91,51,18.2,7,Feb-43,43.28,1,0,-25.08,,8,0,0,0,25,411.3646336112
HM Nicholls,8,6,4,0,0,0,0,0,0,,3,0,0,304,83,50.66,0,0,0,3,0,0,,11,0,0,0,10,164.5458534445
SS Pathirana,19,14,6.33,2,18-Jan,25.5,0,0,-19.16,,3,0,0,40,31,13.33,2,Jan-16,69.5,0,0,-56.16,,4,0,0,0,22.33,367.4308907416
AM Phangiso,0,0,0,3,1-Feb,24.66,0,0,0,,3,0,0,,,,,,,,,,,,,,0,3,49.3637560333
SMA Priyanjan,54,40,54,0,0,0,0,0,0,,3,0,0,,,,,,,,,,,,,,0,94,1546.7310223782
SK Raina,89,43,29.66,1,27-Jan,27,4,0,2.66,,3,0,0,,,,,,,,,,,,,,0,73.66,1212.0447564721
Rubel Hossain,3,2,0,2,1-Jan,68.5,0,0,0,,3,0,0,16,8,4,19,Apr-46,32.78,2,0,-28.78,,16,0,0,0,4,65.8183413778
Taskin Ahmed,4,4,2,1,1-Jan,95,0,0,-92.99,,3,0,0,29,14,14.5,10,Apr-47,42.8,2,0,-28.29,,9,0,0,0,7,115.1820974111
AJ Turner,26,18,8.66,3,12-Feb,14,2,0,-5.33,,3,0,0,,,,,,,,,,,,,,0,29.66,488.0430013164
ML Udawatte,19,11,6.33,0,0,0,0,0,0,,3,0,0,,,,,,,,,,,,,,0,17.33,285.1579640193
BM Wheeler,37,30,18.5,3,1-Feb,49.66,1,0,-31.16,,3,0,0,,,,,,,,,,,,,,0,51.5,847.4111452391
MA Wood,10,5,0,5,1-Feb,22.6,0,0,0,,3,0,0,5,3,2.5,13,Apr-33,40.46,2,0,-37.96,,12,0,0,0,10,164.5458534445
Ariful Haque,3,2,3,0,0,0,0,0,0,,2,0,0,,,,,,,,,,,,,,0,5,82.2729267222
JP Behrendorff,0,0,0,4,21-Apr,6.5,1,0,0,,2,0,0,,,,,,,,,,,,,,0,4,65.8183413778
TA Blundell,17,14,17,0,0,0,1,0,0,,2,0,0,,,,,,,,,,,,,,0,31,510.0921456779
LD Chandimal,2,2,0,0,0,0,0,1,0,,2,0,0,338,59,24.14,0,0,0,5,1,0,,17,0,0,0,2,32.9091706889
NM Coulter-Nile,1,1,1,2,20-Jan,21.5,0,0,-20.49,,2,0,0,10,8,3.33,10,Mar-44,25.1,3,0,-21.76,,5,0,0,0,4,65.8183413778
MS Crane,0,0,0,1,1-Jan,62,0,0,0,,2,0,0,,,,,,,,,,,,,,0,1,16.4545853444
Q de Kock,59,59,29.5,0,0,0,3,0,0,,2,0,0,787,168,52.46,0,0,0,19,1,0,,16,1,0,0,88.5,1456.2308029838
PC de Silva,22,21,11,0,0,0,1,0,0,,2,0,0,,,,,,,,,,,,,,0,32,526.5467310224
BR Dunk,60,32,30,0,0,0,1,0,0,,2,0,0,,,,,,,,,,,,,,0,62,1020.1842913559
R Frylinck,0,0,0,3,1-Feb,14,1,0,0,,2,0,0,,,,,,,,,,,,,,0,3,49.3637560333
BE Hendricks,0,0,0,3,1-Feb,23.33,2,0,0,,2,0,0,,,,,,,,,,,,,,0,3,49.3637560333
LS Livingstone,16,16,8,0,0,0,0,0,0,,2,0,0,,,,,,,,,,,,,,0,24,394.9100482668
DSK Madushanka,0,0,0,2,23-Feb,31,0,0,0,,2,0,0,7,7,7,3,Mar-26,8.66,0,0,-1.66,,1,0,0,0,2,32.9091706889
Mashrafe Mortaza,9,9,9,3,Feb-32,20.66,1,0,-11.66,,2,0,0,76,30,8.44,19,Mar-65,40.94,3,0,-32.5,,18,0,0,0,21,345.5462922334
BMAJ Mendis,0,0,0,3,21-Feb,9.66,2,0,0,,2,0,0,,,,,,,,,,,,,,0,3,49.3637560333
Mohammed Siraj,0,0,0,2,1-Jan,49,1,0,0,,2,0,0,,,,,,,,,,,,,,0,2,32.9091706889
M Morkel,5,5,0,1,1-Jan,75,0,0,0,,2,0,0,22,20,5.5,7,Mar-18,44,1,0,-38.49,,9,0,0,0,6,98.7275120667
Mosaddek Hossain,51,34,51,0,0,0,1,0,0,,2,0,0,108,41,27,4,Mar-13,43.75,5,0,-16.74,,10,0,0,0,85,1398.6397542782
Nazmul Islam,1,1,0,2,Feb-18,26.5,0,0,0,,2,0,0,,,,,,,,,,,,,,0,3,49.3637560333
WD Parnell,4,4,0,0,0,0,1,0,0,,2,0,0,90,35,18,7,Mar-43,42.14,3,0,-24.14,,7,0,0,0,4,65.8183413778
D Pretorius,0,0,0,1,27-Jan,47,0,0,0,,2,0,0,71,50,17.75,10,03-May,29.3,0,0,-11.54,,7,0,0,0,1,16.4545853444
JA Richardson,0,0,0,2,Jan-18,31,3,0,-30.99,,2,0,0,0,0,0,2,Feb-57,28.5,0,0,0,,1,0,0,0,2,32.9091706889
Tamim Iqbal,29,29,14.5,0,0,0,1,0,0,,2,0,0,898,128,64.14,0,0,0,6,0,0,,17,2,0,0,43.5,715.7744624835
SN Thakur,0,0,0,2,31-Jan,33,1,0,0,,2,0,0,0,0,0,5,Apr-52,25.2,3,0,0,,3,0,0,0,2,32.9091706889
JM Vince,31,21,15.5,0,0,0,0,0,0,,2,0,0,,,,,,,,,,,,,,0,36.5,600.5923650724
Abu Jayed,2,2,2,1,1-Jan,45,0,0,-42.99,,1,0,0,,,,,,,,,,,,,,0,5,82.2729267222
Afif Hossain,0,0,0,1,26-Jan,26,1,0,-25.99,,1,0,0,,,,,,,,,,,,,,0,1,16.4545853444
CJ Anderson,6,6,6,0,0,0,1,0,0,,1,0,0,62,24,12.4,5,Mar-55,25.2,2,0,-12.79,,5,0,0,0,12,197.4550241334
MA Aponso,0,0,0,1,31-Jan,31,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,16.4545853444
R Ashwin,11,11,0,0,0,0,0,0,0,KXIP,1,0,0,1,1,1,5,Mar-28,48.4,0,0,-47.39,KXIP,6,0,0,760,11,181.0004387889
DT Christian,9,9,9,0,0,0,0,0,0,,1,0,0,,,,,,,,,,,,,,0,18,296.1825362001
